地名,センター,燃やすごみ,燃やさないごみ,資源,びん
男　山,宮津与謝クリーンセンター,水 土,火,火,火
東　町,宮津与謝クリーンセンター,水 土,火,火,火
藪　後,宮津与謝クリーンセンター,水 土,火,火,火
浜　町,宮津与謝クリーンセンター,水 土,木,木,木
立　町,宮津与謝クリーンセンター,水 土,木,木,木
弓　木,宮津与謝クリーンセンター,水 土,木,木,木
石　田,宮津与謝クリーンセンター,水 土,木,木,木
岩　屋,宮津与謝クリーンセンター,火 金,木,木,木
市　場,宮津与謝クリーンセンター,火 金,月,月,月
三河内,宮津与謝クリーンセンター,火 金,月,月,月
山　田,宮津与謝クリーンセンター,月 木,金,金,金
石　川,宮津与謝クリーンセンター,月 木,金,金,金
加　悦,宮津与謝クリーンセンター,月 木,水,水,水
後　野,宮津与謝クリーンセンター,月 木,水,水,水
与　謝,宮津与謝クリーンセンター,月 木,水,水,水
滝,宮津与謝クリーンセンター,月 木,水,水,水
金　屋,宮津与謝クリーンセンター,月 木,水,水,水
算　所,宮津与謝クリーンセンター,火 金,水,水,水
加悦奥,宮津与謝クリーンセンター,火 金,水,水,水
温　江,宮津与謝クリーンセンター,火 金,水,水,水
明　石,宮津与謝クリーンセンター,火 金,水,水,水
香　河,宮津与謝クリーンセンター,火 金,水,水,水
